#pathway	#p_value	#num_genes	#num_pairs	#sum_fractional_group_centrality	#averaged_fractional_group_centrality
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.2197	249	6120	0.235154	0.0009
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.0020	76	6120	0.202734	0.0027
KEGG_NON_HOMOLOGOUS_END_JOINING	0.7640	14	6120	0.001993	0.0001
KEGG_TASTE_TRANSDUCTION	0.9911	51	6120	0.004722	0.0001
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1.0000	34	6120	0.000303	0.0000
KEGG_GALACTOSE_METABOLISM	0.9988	26	6120	0.000391	0.0000
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.0131	57	6120	0.129889	0.0023
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1.0000	28	6120	0.000000	0.0000
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1.0000	31	6120	0.000005	0.0000
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.8814	17	6120	0.001497	0.0001
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.9999	22	6120	0.000040	0.0000
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1.0000	24	6120	0.000000	0.0000
KEGG_RETINOL_METABOLISM	1.0000	64	6120	0.000000	0.0000
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.7569	53	6120	0.022238	0.0004
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1.0000	14	6120	0.000000	0.0000
KEGG_DNA_REPLICATION	0.8597	36	6120	0.008577	0.0002
KEGG_ACUTE_MYELOID_LEUKEMIA	0.0002	59	6120	0.210811	0.0036
KEGG_LONG_TERM_POTENTIATION	0.2813	69	6120	0.064804	0.0009
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1.0000	15	6120	0.000000	0.0000
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	1.0000	19	6120	0.000000	0.0000
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.9997	44	6120	0.001194	0.0000
KEGG_TYROSINE_METABOLISM	1.0000	41	6120	0.000162	0.0000
KEGG_DILATED_CARDIOMYOPATHY	0.6070	86	6120	0.053514	0.0006
KEGG_GLYCEROLIPID_METABOLISM	1.0000	49	6120	0.000535	0.0000
KEGG_SELENOAMINO_ACID_METABOLISM	1.0000	26	6120	0.000009	0.0000
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.8158	34	6120	0.009583	0.0003
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.0000	124	6120	0.389382	0.0031
KEGG_VIBRIO_CHOLERAE_INFECTION	0.5890	55	6120	0.032660	0.0006
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.9975	23	6120	0.000265	0.0000
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.0012	147	6120	0.293407	0.0020
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1.0000	41	6120	0.000014	0.0000
KEGG_GLIOMA	0.0000	64	6120	0.312444	0.0049
KEGG_PROTEASOME	0.9209	47	6120	0.010402	0.0002
KEGG_COLORECTAL_CANCER	0.0017	59	6120	0.168715	0.0029
KEGG_BLADDER_CANCER	0.0002	37	6120	0.174710	0.0047
KEGG_BASAL_CELL_CARCINOMA	0.1261	53	6120	0.068896	0.0013
KEGG_PANCREATIC_CANCER	0.0000	68	6120	0.275069	0.0040
KEGG_ENDOCYTOSIS	0.0505	178	6120	0.227517	0.0013
KEGG_REGULATION_OF_AUTOPHAGY	0.9872	34	6120	0.002123	0.0001
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.6229	111	6120	0.070098	0.0006
KEGG_SPLICEOSOME	0.9703	128	6120	0.040804	0.0003
KEGG_ETHER_LIPID_METABOLISM	1.0000	33	6120	0.000150	0.0000
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1.0000	44	6120	0.000094	0.0000
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.4741	55	6120	0.038843	0.0007
KEGG_PURINE_METABOLISM	1.0000	158	6120	0.001816	0.0000
KEGG_CALCIUM_SIGNALING_PATHWAY	0.4368	175	6120	0.138243	0.0008
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.9638	11	6120	0.000127	0.0000
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1.0000	26	6120	0.000000	0.0000
KEGG_OLFACTORY_TRANSDUCTION	1.0000	388	6120	0.024438	0.0001
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.9952	27	6120	0.000677	0.0000
